[2023-10-09 20:32:48,154] [INFO] l**********@g****.com {'ret': 0, 'msg': '您似乎已经签到过了...'}
[2023-10-10 03:18:44,762] [INFO] l**********@g****.com {'ret': 0, 'msg': '您似乎已经签到过了...'}
[2023-10-11 03:19:00,664] [INFO] l**********@g****.com {'msg': '获得了 382MB 流量.', 'unflowtraffic': 6736052224, 'traffic': '6.27GB', 'trafficInfo': {'todayUsedTraffic': '36.2KB', 'lastUsedTraffic': '6.09MB', 'unUsedTraffic': '6.27GB'}, 'ret': 1}
[2023-10-12 03:18:47,240] [INFO] l**********@g****.com {'msg': '获得了 348MB 流量.', 'unflowtraffic': 7100956672, 'traffic': '6.61GB', 'trafficInfo': {'todayUsedTraffic': '36.2KB', 'lastUsedTraffic': '6.12MB', 'unUsedTraffic': '6.61GB'}, 'ret': 1}
[2023-10-13 03:19:27,002] [INFO] l**********@g****.com {'msg': '获得了 469MB 流量.', 'unflowtraffic': 7592738816, 'traffic': '7.07GB', 'trafficInfo': {'todayUsedTraffic': '156.2KB', 'lastUsedTraffic': '6.16MB', 'unUsedTraffic': '7.07GB'}, 'ret': 1}
[2023-10-14 03:18:17,143] [INFO] l**********@g****.com {'msg': '获得了 442MB 流量.', 'unflowtraffic': 8056209408, 'traffic': '7.5GB', 'trafficInfo': {'todayUsedTraffic': '36.2KB', 'lastUsedTraffic': '6.31MB', 'unUsedTraffic': '7.5GB'}, 'ret': 1}
[2023-10-15 03:18:25,056] [INFO] l**********@g****.com {'msg': '获得了 492MB 流量.', 'unflowtraffic': 8572108800, 'traffic': '7.98GB', 'trafficInfo': {'todayUsedTraffic': '67.22KB', 'lastUsedTraffic': '6.35MB', 'unUsedTraffic': '7.98GB'}, 'ret': 1}
[2023-10-16 03:19:24,716] [INFO] l**********@g****.com {'msg': '获得了 351MB 流量.', 'unflowtraffic': 8940158976, 'traffic': '8.33GB', 'trafficInfo': {'todayUsedTraffic': '99.22KB', 'lastUsedTraffic': '6.61MB', 'unUsedTraffic': '8.32GB'}, 'ret': 1}
[2023-10-17 03:19:01,967] [INFO] l**********@g****.com {'msg': '获得了 500MB 流量.', 'unflowtraffic': 9464446976, 'traffic': '8.81GB', 'trafficInfo': {'todayUsedTraffic': '31.03KB', 'lastUsedTraffic': '6.74MB', 'unUsedTraffic': '8.81GB'}, 'ret': 1}
[2023-10-18 03:18:55,575] [INFO] l**********@g****.com {'msg': '获得了 393MB 流量.', 'unflowtraffic': 9876537344, 'traffic': '9.2GB', 'trafficInfo': {'todayUsedTraffic': '36.2KB', 'lastUsedTraffic': '6.77MB', 'unUsedTraffic': '9.19GB'}, 'ret': 1}
[2023-10-19 03:18:39,082] [INFO] l**********@g****.com {'msg': '获得了 468MB 流量.', 'unflowtraffic': 10367270912, 'traffic': '9.66GB', 'trafficInfo': {'todayUsedTraffic': '72.39KB', 'lastUsedTraffic': '6.81MB', 'unUsedTraffic': '9.65GB'}, 'ret': 1}
[2023-10-20 03:18:41,124] [INFO] l**********@g****.com {'msg': '获得了 318MB 流量.', 'unflowtraffic': 10700718080, 'traffic': '9.97GB', 'trafficInfo': {'todayUsedTraffic': '72.38KB', 'lastUsedTraffic': '6.88MB', 'unUsedTraffic': '9.96GB'}, 'ret': 1}
[2023-10-21 03:18:24,944] [INFO] l**********@g****.com {'msg': '获得了 479MB 流量.', 'unflowtraffic': 11202985984, 'traffic': '10.43GB', 'trafficInfo': {'todayUsedTraffic': '51.26KB', 'lastUsedTraffic': '7MB', 'unUsedTraffic': '10.43GB'}, 'ret': 1}
[2023-10-22 03:19:11,913] [INFO] l**********@g****.com {'msg': '获得了 452MB 流量.', 'unflowtraffic': 11676942336, 'traffic': '10.88GB', 'trafficInfo': {'todayUsedTraffic': '25.85KB', 'lastUsedTraffic': '7.05MB', 'unUsedTraffic': '10.87GB'}, 'ret': 1}
[2023-10-23 03:19:20,334] [INFO] l**********@g****.com {'msg': '获得了 324MB 流量.', 'unflowtraffic': 12016680960, 'traffic': '11.19GB', 'trafficInfo': {'todayUsedTraffic': '51.7KB', 'lastUsedTraffic': '7.1MB', 'unUsedTraffic': '11.18GB'}, 'ret': 1}
[2023-10-24 03:19:43,032] [INFO] l**********@g****.com {'msg': '获得了 326MB 流量.', 'unflowtraffic': 12358516736, 'traffic': '11.51GB', 'trafficInfo': {'todayUsedTraffic': '25.85KB', 'lastUsedTraffic': '7.22MB', 'unUsedTraffic': '11.5GB'}, 'ret': 1}
[2023-10-25 03:19:03,955] [INFO] l**********@g****.com {'msg': '获得了 302MB 流量.', 'unflowtraffic': 12675186688, 'traffic': '11.8GB', 'trafficInfo': {'todayUsedTraffic': '20.68KB', 'lastUsedTraffic': '7.24MB', 'unUsedTraffic': '11.8GB'}, 'ret': 1}
